,TeamName,ChanceOfWinning,ChanceOfScoring
"Jordan, Joan", Sevilla,30.76923076923077,10.0
"Foulquier, Dimitri", Valencia,44.44444444444444,8.333333333333334
"Guillamón, Hugo", Valencia,44.44444444444444,8.333333333333334
"Acuña, Marcos", Sevilla,30.76923076923077,8.333333333333334
"Pedrosa, Adrià", Sevilla,30.76923076923077,8.333333333333334
Juanlu, Sevilla,30.76923076923077,8.333333333333334
"Ozkacar, Cenk", Valencia,44.44444444444444,5.0
"Vazquez, Jesus <val>", Valencia,44.44444444444444,6.666666666666667
"Diakhaby, Mouctar", Valencia,44.44444444444444,5.0
"Mosquera, Cristhian", Valencia,44.44444444444444,5.0
"Gasiorowski, Yarek", Valencia,44.44444444444444,5.0
"Soumare, Boubakary", Sevilla,30.76923076923077,5.0
"Navas, Jesús", Sevilla,30.76923076923077,5.0
"Bade, Loic", Sevilla,30.76923076923077,4.0
"Junior, Vinicius", Real Madrid,60.60606060606061,40.0
Rodrygo, Real Madrid,60.60606060606061,40.0
Joselu, Real Madrid,60.60606060606061,36.36363636363637
"Díaz, Brahim", Real Madrid,60.60606060606061,28.571428571428573
"Camello, Sergio", Rayo Vallecano,18.867924528301888,25.0
"De Tomas, Raúl", Rayo Vallecano,18.867924528301888,25.0
"Falcao, Radamel", Rayo Vallecano,18.867924528301888,22.22222222222222
"Palazón, Isi", Rayo Vallecano,18.867924528301888,20.0
"Valverde, Federico", Real Madrid,60.60606060606061,20.0
"Güler, Arda", Real Madrid,60.60606060606061,20.0
"de Frutos, Jorge", Rayo Vallecano,18.867924528301888,16.666666666666668
"García, Álvaro", Rayo Vallecano,18.867924528301888,16.666666666666668
Bebé, Rayo Vallecano,18.867924528301888,16.666666666666668
"Modric, Luka", Real Madrid,60.60606060606061,16.666666666666668
"Pérez, Kike", Rayo Vallecano,18.867924528301888,12.5
"Ceballos, Dani", Real Madrid,60.60606060606061,12.5
"Trejo, Óscar", Rayo Vallecano,18.867924528301888,10.0
"Kroos, Toni", Real Madrid,60.60606060606061,10.0
"Vázquez, Lucas", Real Madrid,60.60606060606061,10.0
"López, Unai", Rayo Vallecano,18.867924528301888,8.333333333333334
"Crespo, Miguel", Rayo Vallecano,18.867924528301888,8.333333333333334
"Tchouameni, Aurelien", Real Madrid,60.60606060606061,8.333333333333334
"Camavinga, Eduardo", Real Madrid,60.60606060606061,8.333333333333334
"Lejeune, Florian", Rayo Vallecano,18.867924528301888,6.666666666666667
"Ciss, Pathé", Rayo Vallecano,18.867924528301888,6.666666666666667
"Rudiger, Antonio", Real Madrid,60.60606060606061,6.666666666666667
"Carvajal, Dani", Real Madrid,60.60606060606061,5.0
"García, Fran", Real Madrid,60.60606060606061,5.0
"Valentín, Óscar", Rayo Vallecano,18.867924528301888,4.0
Nacho, Real Madrid,60.60606060606061,4.0
"Espino, ""Pacha""", Rayo Vallecano,18.867924528301888,3.3333333333333335
"Hernández, Aridane", Rayo Vallecano,18.867924528301888,3.3333333333333335
"Balliu, Ivan", Rayo Vallecano,18.867924528301888,3.3333333333333335
Abdul Mumin, Rayo Vallecano,18.867924528301888,3.3333333333333335
"Arezo, Matias", Granada CF,47.61904761904762,36.36363636363637
"Uzuni, Myrto", Granada CF,47.61904761904762,36.36363636363637
"Boyé, Lucas", Granada CF,47.61904761904762,36.36363636363637
"Lozano, Choco", Almería,29.850746268656717,30.76923076923077
"Arribas, Sergio", Almería,29.850746268656717,28.571428571428573
"Corbeanu, Theodor", Granada CF,47.61904761904762,25.0
"Viera, Jonathan", Almería,29.850746268656717,22.22222222222222
"Jozwiak, Kamil", Granada CF,47.61904761904762,20.0
"Pellistri, Facundo", Granada CF,47.61904761904762,20.0
"Melendo, Óscar", Granada CF,47.61904761904762,20.0
"Embarba, Adrián", Almería,29.850746268656717,20.0
"Romero, Luka", Almería,29.850746268656717,16.666666666666668
"Melero, Gonzalo", Almería,29.850746268656717,16.666666666666668
"Ruiz, Sergio", Granada CF,47.61904761904762,14.285714285714286
"Robertone, Lucas", Almería,29.850746268656717,14.285714285714286
"Maouassa, Faitout", Granada CF,47.61904761904762,12.5
"Villar, Gonzalo", Granada CF,47.61904761904762,12.5
"Pozo, Alejandro", Almería,29.850746268656717,12.5
"Méndez, Bruno", Granada CF,47.61904761904762,10.0
"Gumbau, Gerard", Granada CF,47.61904761904762,10.0
"Sánchez, Ricard", Granada CF,47.61904761904762,10.0
"Lopy, Dion", Almería,29.850746268656717,10.0
"Piatkowski, Kamil", Granada CF,47.61904761904762,6.666666666666667
"Hongla, Martin", Granada CF,47.61904761904762,6.666666666666667
"Rubio, Miguel", Granada CF,47.61904761904762,6.666666666666667
"Radovanovic, Aleksandar", Almería,29.850746268656717,6.666666666666667
"Montes, César", Almería,29.850746268656717,6.666666666666667
Iddrisu Baba, Almería,29.850746268656717,6.666666666666667
"González, Edgar", Almería,29.850746268656717,6.666666666666667
"Langa, Bruno", Almería,29.850746268656717,6.666666666666667
"Pubill, Marc", Almería,29.850746268656717,6.666666666666667
"Neva, Carlos", Granada CF,47.61904761904762,5.0
"Torrente, Raúl", Granada CF,47.61904761904762,5.0
Chumi, Almería,29.850746268656717,5.0
"Centelles, Álex", Almería,29.850746268656717,5.0
"Muriqi, Vedat", Mallorca,30.303030303030305,28.571428571428573
"Oyarzabal, Mikel", Real Sociedad,40.0,28.571428571428573
"Silva, André", Real Sociedad,40.0,28.571428571428573
"Sadiq, Umar", Real Sociedad,40.0,28.571428571428573
"Prats, Abdón", Mallorca,30.303030303030305,25.0
"Larin, Cyle", Mallorca,30.303030303030305,25.0
"Barrenetxea, Ander", Real Sociedad,40.0,20.0
"Kubo, Takefusa", Real Sociedad,40.0,20.0
"Radonjic, Nemanja", Mallorca,30.303030303030305,16.666666666666668
"Zakharyan, Arsen", Real Sociedad,40.0,16.666666666666668
"Méndez, Brais", Real Sociedad,40.0,16.666666666666668
"Magunazelaia, Jon", Real Sociedad,40.0,16.666666666666668
"Rodríguez, Dani", Mallorca,30.303030303030305,12.5
"Darder, Sergi", Mallorca,30.303030303030305,12.5
"Sánchez, Antonio", Mallorca,30.303030303030305,11.11111111111111
"Merino, Mikel", Real Sociedad,40.0,10.0
"Costa, Samu", Mallorca,30.303030303030305,8.333333333333334
"Morlanes, Manu", Mallorca,30.303030303030305,8.333333333333334
"Turrientes, Beñat", Real Sociedad,40.0,8.333333333333334
"Olasagasti, Jon Ander", Real Sociedad,40.0,8.333333333333334
"Mascarell, Omar", Mallorca,30.303030303030305,6.666666666666667
Raillo, Mallorca,30.303030303030305,6.666666666666667
"Lato, Toni", Mallorca,30.303030303030305,6.666666666666667
"Traore, Hamari", Real Sociedad,40.0,6.666666666666667
"Zubimendi, Martin", Real Sociedad,40.0,6.666666666666667
"González, Giovanni", Mallorca,30.303030303030305,5.0
"Aramburu, Jon Mikel", Real Sociedad,40.0,5.0
"Le Normand, Robin", Real Sociedad,40.0,5.0
"Galán, Javi", Real Sociedad,40.0,5.0
"Valjent, Martín", Mallorca,30.303030303030305,4.0
"Costa, Jaume", Mallorca,30.303030303030305,4.0
"Nastasic, Matija", Mallorca,30.303030303030305,4.0
"Vidal, Nacho", Mallorca,30.303030303030305,4.0
Copete, Mallorca,30.303030303030305,4.0
"Pacheco, Jon", Real Sociedad,40.0,4.0
"Zubeldia, Igor", Real Sociedad,40.0,4.0
Willian Jose, Betis,48.78048780487805,33.333333333333336
"Bakambu, Cedric", Betis,48.78048780487805,28.571428571428573
"Fekir, Nabil", Betis,48.78048780487805,26.666666666666668
"Ávila, Chimy", Betis,48.78048780487805,26.666666666666668
"Omorodion, Samu", CD Alavés,27.027027027027025,26.666666666666668
"García, Kike", CD Alavés,27.027027027027025,25.0
Abde, Betis,48.78048780487805,22.22222222222222
"Diao, Assane", Betis,48.78048780487805,22.22222222222222
"Simeone, Giuliano", CD Alavés,27.027027027027025,22.22222222222222
"Fornals, Pablo", Betis,48.78048780487805,18.181818181818183
"Hagi, Ianis", CD Alavés,27.027027027027025,18.181818181818183
"Rioja, Luis", CD Alavés,27.027027027027025,18.181818181818183
"Vicente, Carlos", CD Alavés,27.027027027027025,18.181818181818183
Rodri Sánchez, Betis,48.78048780487805,16.666666666666668
"Ruibal, Aitor", Betis,48.78048780487805,16.666666666666668
"Guridi, Jon", CD Alavés,27.027027027027025,16.666666666666668
"Alkain, Xeber", CD Alavés,27.027027027027025,16.666666666666668
"Sola, Álex", CD Alavés,27.027027027027025,12.5
"Rebbach, Abde", CD Alavés,27.027027027027025,11.11111111111111
"Roca, Marc", Betis,48.78048780487805,10.0
"Cardoso, Johnny", Betis,48.78048780487805,10.0
"Carvalho, William", Betis,48.78048780487805,10.0
"Miranda, Juan", Betis,48.78048780487805,10.0
"Altimira, Sergi", Betis,48.78048780487805,10.0
"Pezzella, Germán", Betis,48.78048780487805,8.333333333333334
"Benavidez, Carlos", CD Alavés,27.027027027027025,8.333333333333334
"Blanco, António", CD Alavés,27.027027027027025,8.333333333333334
"Bellerín, Héctor", Betis,48.78048780487805,6.666666666666667
Sokratis, Betis,48.78048780487805,6.666666666666667
"Riad, Chadi", Betis,48.78048780487805,6.666666666666667
"Guevara, Ander", CD Alavés,27.027027027027025,6.666666666666667
"Duarte, Rubén", CD Alavés,27.027027027027025,6.666666666666667
"Abqar, Abdel", CD Alavés,27.027027027027025,5.0
"Marin, Rafa", CD Alavés,27.027027027027025,5.0
"Gorosabel, Andoni", CD Alavés,27.027027027027025,4.0
"Tenaglia, Nahuel", CD Alavés,27.027027027027025,4.0
"Guruzeta, Gorka", Athletic Club,50.0,40.0
Artem Dovbyk, Girona FC,28.169014084507044,40.0
"Williams, Iñaki", Athletic Club,50.0,33.333333333333336
"Villalibre, Asier", Athletic Club,50.0,28.571428571428573
"Stuani, Christian", Girona FC,28.169014084507044,28.571428571428573
"Sancet, Oihan", Athletic Club,50.0,26.666666666666668
"Williams, Nico", Athletic Club,50.0,25.0
"García, Raúl <ath>", Athletic Club,50.0,25.0
"Berenguer, Álex", Athletic Club,50.0,25.0
Adu Ares, Athletic Club,50.0,20.0
"Tsygankov, Viktor", Girona FC,28.169014084507044,20.0
Savinho, Girona FC,28.169014084507044,20.0
"Vesga, Mikel", Athletic Club,50.0,16.666666666666668
"Gómez, Unai", Athletic Club,50.0,16.666666666666668
"Herrera, Yangel", Girona FC,28.169014084507044,16.666666666666668
Portu, Girona FC,28.169014084507044,16.666666666666668
Valery, Girona FC,28.169014084507044,12.5
"Garcia, Aleix", Girona FC,28.169014084507044,12.5
"Martín, Iván", Girona FC,28.169014084507044,12.5
"Torre, Pablo", Girona FC,28.169014084507044,12.5
"Herrera, Ander", Athletic Club,50.0,10.0
"Ruiz De Galarreta, Íñigo", Athletic Club,50.0,10.0
"Berchiche, Yuri", Athletic Club,50.0,10.0
"Solis, Jhon", Girona FC,28.169014084507044,10.0
"Gutiérrez, Miguel", Girona FC,28.169014084507044,8.333333333333334
"Prados, Beñat", Athletic Club,50.0,6.666666666666667
"Paredes, Aitor", Athletic Club,50.0,6.666666666666667
"De Marcos, Óscar", Athletic Club,50.0,6.666666666666667
"Vivian, Dani", Athletic Club,50.0,6.666666666666667
"Blind, Daley", Girona FC,28.169014084507044,6.666666666666667
"Martinez, Arnau", Girona FC,28.169014084507044,6.666666666666667
Juanpe <giro>, Girona FC,28.169014084507044,6.666666666666667
"Lekue, Íñigo", Athletic Club,50.0,5.0
Yeray, Athletic Club,50.0,5.0
"García, Eric", Girona FC,28.169014084507044,5.0
